Number;Genes;Adjusted p-value;Log fold change;Cluster
26;Pak1;1,96E-215;2,4266403;L6b
27;Cd164;4,46E-212;3,6444852;L6b
28;Slc8a1;2,58E-210;2,8742568;L6b
29;Rai14;6,10E-210;6,0957212;L6b
30;Fut9;5,63E-206;2,969872;L6b
31;Slc1a2;5,83E-205;4,1018724;L6b
32;Drd1;1,67E-202;5,767463;L6b
33;Gm32392;2,07E-201;6,4198976;L6b
34;Rogdi;2,69E-201;1,5043888;L6b
35;Bag1;6,42E-201;2,010969;L6b
36;Cpe;2,60E-200;1,43913;L6b
37;Clic5;8,27E-200;8,17085;L6b
38;Serpini1;3,95E-193;3,017613;L6b
39;Lhfpl3;6,30E-193;5,702078;L6b
40;Cfl1;1,59E-192;0,7692349;L6b
41;Mpi;2,98E-192;2,9821131;L6b
42;Inpp4b;9,31E-192;6,351055;L6b
43;Gadd45a;1,25E-190;5,2914186;L6b
44;Cdh18;2,04E-189;4,9803224;L6b
45;Srcin1;1,14E-188;2,0918968;L6b
46;D630023F18Rik;1,87E-187;5,1020885;L6b
47;Atp6ap1l;7,56E-187;5,6131215;L6b
48;Ndrg3;1,23E-186;1,4755342;L6b
49;St3gal5;2,90E-186;2,8061576;L6b
50;Tubb2a;1,54E-185;1,1961024;L6b
51;Gfra4;1,85E-184;2,0443437;L6b
52;Usp46;2,03E-184;3,319652;L6b
53;Fxyd7;5,68E-183;3,4182987;L6b
54;Lman1l;2,75E-182;6,473178;L6b
55;Atp2b4;1,40E-180;5,066171;L6b
56;Sdk2;1,56E-180;4,572278;L6b
57;Tuba1a;2,15E-179;0,9896737;L6b
58;Pde1a;5,25E-179;5,0890102;L6b
59;Cyth2;2,44E-178;1,9724209;L6b
60;Pls3;2,73E-178;2,6084235;L6b
61;Hpcal4;5,34E-177;2,8664184;L6b
62;Gabra5;9,32E-177;4,7720757;L6b
63;1700001L19Rik;5,00E-175;4,126069;L6b
64;Hpcal1;1,72E-173;5,0516133;L6b
65;Aldh1b1;6,50E-173;5,0308127;L6b
66;Dtnb;4,73E-172;2,9839525;L6b
67;Caln1;7,10E-170;3,8744864;L6b
68;Jup;9,15E-170;4,480842;L6b
69;Tmsb10;5,70E-169;2,2987645;L6b
70;Pgrmc1;1,79E-168;1,2796758;L6b
71;Mctp1;9,88E-167;4,047938;L6b
72;Tmem158;5,69E-166;3,1896253;L6b
73;Oprm1;6,00E-165;4,856179;L6b
74;Nptx1;4,95E-164;4,8227406;L6b
75;Brk1;5,60E-164;1,2833524;L6b
76;Pbx1;9,06E-164;2,710188;L6b
77;Ssbp3;1,69E-162;2,0758405;L6b
78;Tmem40;2,96E-162;6,642143;L6b
79;Tusc3;1,88E-161;1,5488231;L6b
80;Lmo3;7,45E-161;3,835145;L6b
81;Trp53i11;1,17E-160;5,1038785;L6b
82;Celf4;2,16E-160;1,4070563;L6b
83;Ipcef1;2,32E-160;4,5874104;L6b
84;Itm2c;5,97E-160;1,3733029;L6b
85;Rgs20;1,27E-159;3,8017626;L6b
86;Svil;1,89E-159;5,3252506;L6b
87;Sulf1;2,93E-159;5,681577;L6b
88;Igsf21;4,71E-159;4,8164916;L6b
89;Zfpm2;1,13E-158;5,16159;L6b
90;Hsbp1;8,72E-158;0,777333;L6b
91;Sez6;2,58E-157;3,67526;L6b
92;Cyb5a;1,55E-156;1,6946323;L6b
93;Mmp16;4,73E-156;3,5931072;L6b
94;Bcl11a;6,29E-156;2,5773888;L6b
95;Gm9844;1,19E-155;2,1978152;L6b
96;Actg1;3,63E-155;0,8750731;L6b
97;Tmod1;3,66E-155;3,8351865;L6b
98;Mllt11;1,24E-153;1,2962507;L6b
99;Sh3gl3;9,99E-153;3,3969994;L6b
0;Dner;0;5,272085;Lamp5
1;Eepd1;0;4,1090403;Lamp5
2;Cntnap2;0;3,0648522;Lamp5
3;Tsc22d1;0;1,7556598;Lamp5
4;Mapk3;0;3,2432492;Lamp5
5;Nr2f2;0;5,2680745;Lamp5
6;Rgs10;0;4,886741;Lamp5
7;Rora;0;3,1849182;Lamp5
8;Ogfrl1;0;2,22817;Lamp5
9;Frmpd4;0;2,7433474;Lamp5
10;Mgll;0;2,3202186;Lamp5
11;Spock1;0;2,475845;Lamp5
12;Rapgef4;0;1,9703357;Lamp5
13;Sv2c;0;5,7651377;Lamp5
14;Nfix;0;2,9296556;Lamp5
15;Afap1;0;4,705707;Lamp5
16;Ptchd2;0;4,894961;Lamp5
17;Tmeff1;0;2,9068108;Lamp5
18;Erbb4;0;6,342992;Lamp5
19;Sema5a;0;5,687699;Lamp5
20;Kcnn2;0;3,63033;Lamp5
21;Thrsp;0;5,371114;Lamp5
22;Sh3bgrl;0;2,995951;Lamp5
23;Crtac1;0;4,2547126;Lamp5
24;Homer2;0;3,8209548;Lamp5
25;Pcbp3;0;2,2451437;Lamp5
26;Zcchc18;0;1,2529839;Lamp5
27;Rimbp2;0;2,9786365;Lamp5
28;Tox3;0;4,317045;Lamp5
29;Chst7;0;6,933304;Lamp5
30;Igf1;0;5,4196444;Lamp5
31;Serpini1;0;2,53051;Lamp5
32;Plekho1;0;2,5839374;Lamp5
33;Slc32a1;0;4,398383;Lamp5
34;Ppp1r2;0;1,5437949;Lamp5
35;Necab2;0;4,657628;Lamp5
36;Lancl1;0;1,253069;Lamp5
37;Ptpro;0;4,377507;Lamp5
38;Fmo1;0;7,507155;Lamp5
39;Maf;0;4,352202;Lamp5
40;Slc25a17;0;2,1052465;Lamp5
41;Maged1;0;1,3603541;Lamp5
42;Slc39a6;0;3,461035;Lamp5
43;Reln;0;6,2250977;Lamp5
44;Nmnat2;0;1,7272093;Lamp5
45;Prox1;0;5,1011515;Lamp5
46;Slc2a13;0;2,8048635;Lamp5
47;Sox2ot;0;4,9074597;Lamp5
48;Pld5;0;5,717196;Lamp5
49;Pde11a;0;7,7512107;Lamp5
50;Hdac9;0;4,041462;Lamp5
51;Zfp536;0;5,7475715;Lamp5
52;Dlx6os1;0;6,903718;Lamp5
53;Pip5k1b;0;5,415047;Lamp5
54;Id2;0;4,78302;Lamp5
55;Cryab;0;6,1502457;Lamp5
56;Igsf11;0;5,352938;Lamp5
57;Ptprm;0;5,773989;Lamp5
58;Lmo2;0;6,188536;Lamp5
59;Tnfaip8l3;0;7,708152;Lamp5
60;Npy;0;10,088898;Lamp5
61;Ngf;0;6,980342;Lamp5
62;Kctd6;0;3,612049;Lamp5
63;Lamp5;0;7,751709;Lamp5
64;Kit;0;8,292356;Lamp5
65;Slc6a1;0;7,1077857;Lamp5
66;Hapln1;0;9,035785;Lamp5
67;Fgf13;0;4,6347237;Lamp5
68;Cplx3;0;9,721323;Lamp5
69;Gad1;0;8,523781;Lamp5
70;Rab3c;0;3,3054745;Lamp5
71;Gad2;0;7,9433885;Lamp5
72;Parm1;0;5,9310455;Lamp5
73;Sema3c;0;6,8381424;Lamp5
74;Resp18;0;3,2248623;Lamp5
75;Nfib;0;4,0363154;Lamp5
76;Nyap2;0;4,0839043;Lamp5
77;Bcl11b;0;4,2242107;Lamp5
78;Fgf9;0;3,48928;Lamp5
79;Spock3;0;3,8198736;Lamp5
80;Trpc5;0;4,6576743;Lamp5
81;Arl4c;0;4,4898586;Lamp5
82;Tnnt1;0;7,982083;Lamp5
83;Gabrb2;0;2,340536;Lamp5
84;Krt1;0;4,544824;Lamp5
85;Rgs7bp;0;1,7382944;Lamp5
86;Grik1;0;4,506535;Lamp5
87;Adra1a;0;5,1145673;Lamp5
88;Gad1-ps;0;3,1262913;Lamp5
89;Cpne7;0;5,696211;Lamp5
90;2900055J20Rik;0;2,8745627;Lamp5
91;Klhl13;0;6,1920476;Lamp5
92;A830018L16Rik;0;3,0490918;Lamp5
93;Adarb2;0;7,3662896;Lamp5
94;Dlx1as;0;5,563658;Lamp5
95;Tspan7;0;1,1656075;Lamp5
96;Pnoc;0;7,497781;Lamp5
97;Zmat4;0;4,3789887;Lamp5
98;Crispld1;0;6,820142;Lamp5
99;Osbpl8;0;2,1401262;Lamp5
0;Rnr2;4,67E-53;1,7962486;Low Quality
1;COX1;3,14E-50;1,266103;Low Quality
2;CYTB;9,50E-47;1,3303863;Low Quality
3;ND4;2,11E-46;1,4288906;Low Quality
4;Rnr1;1,30E-44;1,859949;Low Quality
5;Gm6581;4,21E-43;1,4230634;Low Quality
6;TrnQ;6,39E-43;1,9890516;Low Quality
7;ND5;3,19E-41;1,0623606;Low Quality
8;ND6;6,54E-40;1,2212945;Low Quality
9;ND2;9,67E-38;1,1611369;Low Quality
10;Gm15266;3,19E-34;1,3662248;Low Quality
11;ND3;3,83E-30;1,2779305;Low Quality
12;Apoe;3,18E-27;5,3236856;Low Quality
13;ND1;8,52E-26;0,7306352;Low Quality
14;LOC100503946;8,52E-23;1,3143748;Low Quality
15;Mt2;4,64E-22;4,856639;Low Quality
16;COX2;2,16E-21;1,3872689;Low Quality
17;COX3;2,75E-21;1,3239795;Low Quality
18;ATP6;4,30E-21;1,2815057;Low Quality
19;Rn18s-rs5;2,09E-20;1,3474948;Low Quality
20;LOC105246169;9,72E-18;1,7335308;Low Quality
21;TrnV;5,85E-16;3,7003345;Low Quality
22;LOC105245046;8,20E-16;1,179258;Low Quality
23;TrnA;1,56E-15;2,5596771;Low Quality
24;Ftl1;2,10E-15;-0,16934772;Low Quality
25;Gm8129;2,56E-15;0,6118086;Low Quality
26;TrnP;1,47E-14;1,2761883;Low Quality
27;Gm20594;2,72E-14;2,5025458;Low Quality
28;Gm33085;5,41E-14;1,8194934;Low Quality
29;TrnM;7,58E-14;2,5731244;Low Quality
30;Gm9683;1,63E-13;3,3726506;Low Quality
31;LOC105245638;2,74E-13;1,8813407;Low Quality
32;Gm10116;3,66E-13;1,4210795;Low Quality
33;TrnC;2,69E-12;2,3727546;Low Quality
34;Gm12164;5,02E-12;1,747178;Low Quality
35;ATP8;1,87E-11;1,3185102;Low Quality
36;Fth1;3,10E-11;-0,31705603;Low Quality
37;TrnL1;3,92E-11;2,9157445;Low Quality
38;Gm11478;1,11E-10;1,167199;Low Quality
39;Col7a1;2,27E-10;4,081364;Low Quality
40;Gm6789;4,99E-10;2,6374927;Low Quality
41;Igk;7,35E-10;1,5269464;Low Quality
42;Gm4617;1,43E-09;0,85900855;Low Quality
43;Ptma;1,75E-09;0,079633705;Low Quality
44;Dap;2,95E-09;3,0540173;Low Quality
45;Lars2;8,03E-09;0,7180746;Low Quality
46;Gm4735;1,74E-08;0,46479908;Low Quality
47;Mt1;1,92E-08;1,6200355;Low Quality
48;Mir6240;1,94E-08;2,2529664;Low Quality
49;TrnS2;2,52E-08;3,8540573;Low Quality
50;TrnI;2,97E-08;2,5665681;Low Quality
51;Rps27rt;3,25E-08;0,81048375;Low Quality
52;Ezr;3,69E-08;3,1620843;Low Quality
53;Cnn3;4,83E-08;2,0795937;Low Quality
54;Il11ra1;5,18E-08;2,017662;Low Quality
55;Gm11361;5,31E-08;1,2687792;Low Quality
56;Gm14303;6,32E-08;0,32215774;Low Quality
57;Vsig2;7,72E-08;1,4390268;Low Quality
58;Rpl13a;8,40E-08;-0,41024056;Low Quality
59;Gm7204;9,30E-08;1,140215;Low Quality
60;Prdx1;1,11E-07;-0,5156132;Low Quality
61;TrnE;1,29E-07;1,4648442;Low Quality
62;Gm5879;1,69E-07;1,3181486;Low Quality
63;TrnF;1,94E-07;2,8564198;Low Quality
64;Ifi30;1,94E-07;3,421905;Low Quality
65;S100b;3,06E-07;2,6815398;Low Quality
66;Gm26756;3,61E-07;3,350898;Low Quality
67;Lat;5,22E-07;4,274949;Low Quality
68;Baiap2;5,38E-07;0,865952;Low Quality
69;Gm11189;5,63E-07;1,8949986;Low Quality
70;Gm20746;8,05E-07;1,3709948;Low Quality
71;Gm3953;9,14E-07;2,0176573;Low Quality
72;Camk2a;1,24E-06;0,5635996;Low Quality
73;Gm21399;1,43E-06;1,089541;Low Quality
74;Gstm2-ps1;1,48E-06;3,1820695;Low Quality
75;Id2;2,14E-06;0,91155446;Low Quality
76;Bai1;2,94E-06;0,4740622;Low Quality
77;Mir6236;3,37E-06;0,7851628;Low Quality
78;Gm8814;3,65E-06;1,1558611;Low Quality
79;Rps23;4,25E-06;-0,60018164;Low Quality
80;LOC105245621;4,61E-06;1,2716047;Low Quality
81;Gm18173;4,78E-06;1,713263;Low Quality
82;Rps14;5,61E-06;-0,62136734;Low Quality
83;Slc1a2;6,44E-06;1,1500709;Low Quality
84;TrnD;7,62E-06;4,589399;Low Quality
85;Nmb;8,50E-06;2,8441558;Low Quality
86;Gstm1;9,82E-06;2,823284;Low Quality
87;Rpl35;1,18E-05;-0,3344731;Low Quality
88;Cdt1;1,24E-05;3,1553495;Low Quality
89;Ssbp4;1,36E-05;-0,26783958;Low Quality
90;Tlcd2;1,37E-05;4,554798;Low Quality
91;Csrp1;1,78E-05;2,195735;Low Quality
92;Gm17936;2,11E-05;2,2849545;Low Quality
93;TrnL2;2,15E-05;3,5433602;Low Quality
94;Gm12892;2,40E-05;0,38460264;Low Quality
95;Gm18728;2,64E-05;1,7354684;Low Quality
96;Oxt;2,83E-05;5,100859;Low Quality
97;Cox6a1;2,85E-05;-0,7285907;Low Quality
98;Ppp1r1b;3,39E-05;1,5796982;Low Quality
99;Mdk;3,48E-05;2,977959;Low Quality
0;Fcer1g;3,74E-83;17,27102;Macrophage
1;C1qa;3,74E-83;18,16257;Macrophage
2;C1qc;3,74E-83;18,65388;Macrophage
3;C1qb;3,74E-83;18,779028;Macrophage
4;Fcgr3;3,74E-83;16,011482;Macrophage
5;Ctss;3,74E-83;18,427763;Macrophage
6;Tyrobp;3,74E-83;17,346004;Macrophage
7;Tmsb4x;1,07E-82;3,0944514;Macrophage
8;B2m;2,02E-82;6,179138;Macrophage
9;Fcrls;4,26E-82;16,957088;Macrophage
10;Csf1r;4,26E-82;17,173004;Macrophage
11;Lgmn;4,26E-82;5,11481;Macrophage
12;Laptm5;4,26E-82;16,811726;Macrophage
13;Cst3;5,06E-82;6,3549447;Macrophage
14;Unc93b1;9,91E-82;13,775535;Macrophage
15;Ly86;6,50E-81;16,713326;Macrophage
16;Aif1;8,23E-81;12,641487;Macrophage
17;Cyba;1,22E-80;13,3355;Macrophage
18;Ftl1;2,22E-80;3,3210316;Macrophage
19;Ctsd;2,23E-80;5,0583463;Macrophage
20;Cd53;1,17E-79;15,092299;Macrophage
21;4632428N05Rik;1,77E-79;14,222475;Macrophage
22;Pld4;1,03E-78;15,932829;Macrophage
23;P2ry12;1,80E-78;15,621141;Macrophage
24;Zfp36;5,07E-78;13,54961;Macrophage
25;Serinc3;7,28E-78;3,3707266;Macrophage
26;Txnip;1,57E-77;13,241795;Macrophage
27;Sepp1;1,74E-77;12,804172;Macrophage
28;Itm2b;2,34E-77;1,9441341;Macrophage
29;Rnase4;2,91E-77;13,492336;Macrophage
30;Rnaset2a;3,33E-76;6,350267;Macrophage
31;Zfhx3;3,98E-76;9,664404;Macrophage
32;Gpr34;4,39E-76;13,567857;Macrophage
33;Rnaset2b;8,69E-76;5,9547644;Macrophage
34;Hexb;5,40E-75;9,540816;Macrophage
35;Trem2;7,60E-75;12,324406;Macrophage
36;Grn;1,93E-74;5,8474607;Macrophage
37;Cx3cr1;2,15E-74;16,707466;Macrophage
38;Ltc4s;3,19E-74;13,262836;Macrophage
39;Zfp36l1;4,37E-74;10,234196;Macrophage
40;Trf;4,98E-74;11,939297;Macrophage
41;AF251705;3,77E-73;14,152801;Macrophage
42;Ctsz;7,68E-73;6,994981;Macrophage
43;Cd68;2,17E-72;10,589472;Macrophage
44;Gm14303;5,47E-71;2,4066782;Macrophage
45;Sat1;1,00E-70;4,646158;Macrophage
46;Ftl2;1,21E-70;3,1621096;Macrophage
47;Rgs10;3,95E-70;6,7954826;Macrophage
48;Cyth4;1,13E-69;13,286673;Macrophage
49;Fyb;9,11E-69;14,772811;Macrophage
50;Hmha1;9,86E-69;14,271204;Macrophage
51;Hpgds;3,11E-68;10,875006;Macrophage
52;Lyn;6,09E-68;11,779037;Macrophage
53;Rps29;6,26E-68;2,0630043;Macrophage
54;Spi1;1,08E-67;14,965279;Macrophage
55;Mertk;2,67E-67;10,286898;Macrophage
56;Gng5;3,06E-67;6,3804154;Macrophage
57;Slco2b1;6,35E-67;12,282058;Macrophage
58;Marcks;1,35E-66;3,4488637;Macrophage
59;Gm10116;1,81E-66;3,4151769;Macrophage
60;Pfn1;2,06E-66;1,9067116;Macrophage
61;Entpd1;2,79E-66;10,086884;Macrophage
62;Kctd12;8,53E-66;7,8266654;Macrophage
63;Emr1;1,84E-65;15,498029;Macrophage
64;Jun;3,54E-65;7,4843726;Macrophage
65;Junb;5,02E-65;6,3234143;Macrophage
66;Clic1;7,70E-65;10,253839;Macrophage
67;Selplg;1,12E-64;15,091084;Macrophage
68;P2ry13;3,27E-64;14,400961;Macrophage
69;Ptpn18;3,63E-64;12,943416;Macrophage
70;Ivns1abp;5,82E-64;4,211828;Macrophage
71;Ctsh;1,61E-63;12,049917;Macrophage
72;Gm12164;2,32E-63;3,673639;Macrophage
73;Ly6e;4,07E-63;2,8544755;Macrophage
74;Itgb5;7,98E-63;10,355321;Macrophage
75;Rhob;9,46E-63;4,147983;Macrophage
76;Maf;1,10E-61;6,1465554;Macrophage
77;Lpcat2;1,38E-61;10,155346;Macrophage
78;Gpx1;1,50E-61;2,922501;Macrophage
79;Rab3il1;1,72E-61;9,17294;Macrophage
80;H3f3b;2,33E-61;2,3422046;Macrophage
81;Ccdc152;3,30E-61;6,8280516;Macrophage
82;Gpr183;4,60E-61;10,57026;Macrophage
83;Gm8814;1,04E-60;3,4429326;Macrophage
84;Cfh;2,01E-60;11,778444;Macrophage
85;Ubc;5,47E-60;1,8166832;Macrophage
86;Siglech;5,77E-60;16,195185;Macrophage
87;Hk2;9,23E-60;9,973263;Macrophage
88;Ifngr1;1,33E-59;8,12127;Macrophage
89;Inpp5d;1,83E-59;9,177308;Macrophage
90;Hpgd;1,95E-59;10,83566;Macrophage
91;Gm7618;1,08E-58;3,3651981;Macrophage
92;Arpc1b;1,35E-58;8,390062;Macrophage
93;Tgfbr1;2,35E-58;8,743285;Macrophage
94;Rgs2;3,63E-58;4,433374;Macrophage
95;Arhgdib;6,07E-58;9,190225;Macrophage
96;Crybb1;8,30E-58;13,482924;Macrophage
97;Btg2;1,28E-57;7,804659;Macrophage
98;Gm20746;1,50E-57;3,516986;Macrophage
99;Glul;2,01E-57;4,228671;Macrophage
0;H3f3b;7,45E-26;1,7268059;Meis2
1;Pcbp3;1,11E-25;3,8557677;Meis2
2;Gng4;1,83E-23;5,532091;Meis2
3;Meis2;4,04E-22;6,6736445;Meis2
4;Sp8;8,88E-22;6,2615376;Meis2
5;Btg1;1,51E-21;3,808544;Meis2
6;H3f3a;1,79E-21;1,4079708;Meis2
7;Penk;3,46E-21;8,560697;Meis2
8;Pcp4l1;4,31E-21;6,0289054;Meis2
9;Frmd7;2,56E-20;10,248264;Meis2
10;Ube2e3;3,78E-20;2,1871717;Meis2
11;Gm6485;4,15E-20;1,7406992;Meis2
12;Cpne6;7,05E-20;5,5639796;Meis2
13;Scgn;1,71E-19;11,207891;Meis2
14;Ckb;2,94E-19;1,4502919;Meis2
15;Ck-ps3;3,83E-19;1,8654296;Meis2
16;Map3k1;6,78E-19;4,6105733;Meis2
17;G630016G05Rik;9,46E-19;5,693485;Meis2
18;Shisa8;1,45E-18;7,596503;Meis2
19;Hist3h2a;2,69E-18;2,2887542;Meis2
20;Grb2;5,14E-18;1,9929765;Meis2
21;Pbx3;5,97E-18;7,2813573;Meis2
22;Ptpro;1,53E-17;5,9387283;Meis2
23;Trim17;1,95E-17;2,2803745;Meis2
24;Rsrp1;4,10E-17;1,0031189;Meis2
25;Gm12892;4,40E-17;1,518523;Meis2
26;Ybx1;1,17E-16;1,336521;Meis2
27;Clk1;1,34E-16;1,6871529;Meis2
28;Synpr;1,38E-16;6,4494376;Meis2
29;Tuba1a;3,77E-16;0,97151375;Meis2
30;Apc;6,47E-16;2,174954;Meis2
31;Pcp4;9,10E-16;4,945935;Meis2
32;Ptma;2,22E-15;1,0416259;Meis2
33;Myo16;2,23E-15;5,526175;Meis2
34;Hmgn2;3,10E-15;1,552637;Meis2
35;Amigo2;3,17E-15;7,4049463;Meis2
36;Cited2;3,94E-15;2,5998044;Meis2
37;Nrip3;4,04E-15;3,7253098;Meis2
38;Malat1;5,33E-15;1,0499008;Meis2
39;Mt1;1,81E-14;2,959922;Meis2
40;1700019L22Rik;2,43E-14;6,225634;Meis2
41;Dlx5;8,54E-14;4,371073;Meis2
42;Itm2c;1,26E-13;1,2024941;Meis2
43;Sez6;1,35E-13;3,1475074;Meis2
44;Mtfp1;2,16E-13;1,679034;Meis2
45;Gpsm1;3,00E-13;5,604398;Meis2
46;Selm;3,22E-13;1,1968935;Meis2
47;Podxl2;3,32E-13;1,7240285;Meis2
48;Dgkb;3,87E-13;3,968748;Meis2
49;Fam184a;5,00E-13;3,949181;Meis2
50;Pbx1;5,36E-13;2,558641;Meis2
51;Marcks;8,08E-13;2,0878878;Meis2
52;Th;1,55E-12;9,210231;Meis2
53;Epha5;1,69E-12;2,42152;Meis2
54;Hmgn1;2,05E-12;1,0869638;Meis2
55;Lgr5;3,59E-12;7,188122;Meis2
56;Ddx5;4,14E-12;0,93818843;Meis2
57;Hnrnpc;1,97E-11;0,4474904;Meis2
58;Zfp385b;3,20E-11;2,3041854;Meis2
59;Dcx;5,06E-11;3,5930152;Meis2
60;Syt6;5,20E-11;6,2136436;Meis2
61;Hist1h2bc;6,01E-11;3,9538462;Meis2
62;Isoc1;7,77E-11;5,1484327;Meis2
63;Rbm39;8,91E-11;0,86907184;Meis2
64;Hnrnpa2b1;1,04E-10;0,6980943;Meis2
65;Pkig;1,07E-10;1,1316416;Meis2
66;Meis1;1,09E-10;6,0944476;Meis2
67;Sp9;1,45E-10;3,9632764;Meis2
68;Ahi1;1,77E-10;1,4771533;Meis2
69;Rpl13;1,77E-10;0,7902563;Meis2
70;Dclk2;1,80E-10;3,47985;Meis2
71;Hap1;1,90E-10;3,7989566;Meis2
72;Pnmal2;1,98E-10;1,498291;Meis2
73;Gm13889;2,03E-10;2,9044247;Meis2
74;Adamts19;2,16E-10;9,203993;Meis2
75;Ck-ps1;2,30E-10;2,0487473;Meis2
76;Celf4;2,41E-10;1,2769296;Meis2
77;Dync1i1;2,50E-10;1,6838905;Meis2
78;Celf2;2,60E-10;1,06834;Meis2
79;Cacna1c;3,77E-10;2,7224298;Meis2
80;Ftl1;4,96E-10;0,8123904;Meis2
81;Gad1;7,22E-10;6,157554;Meis2
82;Ppp1cc;8,01E-10;0,9790801;Meis2
83;Dlx1;1,34E-09;3,6843483;Meis2
84;Rpp25;1,44E-09;3,503388;Meis2
85;Srsf7;1,92E-09;0,6543161;Meis2
86;Gm7554;2,03E-09;2,772372;Meis2
87;H3f3a-ps2;2,28E-09;1,5703899;Meis2
88;Emp3;3,36E-09;6,6503386;Meis2
89;Eno2;4,59E-09;0,6778277;Meis2
90;Psip1;4,62E-09;0,8032024;Meis2
91;Ubb;6,82E-09;0,39226124;Meis2
92;Ccdc109b;8,09E-09;5,3714566;Meis2
93;Atp2b4;8,11E-09;3,442773;Meis2
94;Sall3;8,28E-09;7,0751915;Meis2
95;Son;1,32E-08;0,803734;Meis2
96;Grm2;1,33E-08;3,824761;Meis2
97;Atp5g2;1,58E-08;0,51888895;Meis2
98;COX2;1,61E-08;1,0833082;Meis2
99;Kcnh6;1,80E-08;2,2127194;Meis2
0;Tshz2;0;10,878432;NP
1;Vwc2l;0;6,905071;NP
2;Gsta4;0;4,8928714;NP
3;Sla2;0;7,979017;NP
4;Lmo3;0;4,3099456;NP
5;Neto2;0;4,594931;NP
6;Meis2;0;6,2814093;NP
7;Tle4;0;5,335202;NP
8;Gm11223;0;1,9107449;NP
9;Slit1;0;5,4143353;NP
10;Stard5;0;6,65663;NP
11;Adcy2;0;4,3483963;NP
12;Rprm;0;6,457656;NP
13;Stmn1;0;1,9689063;NP
14;Il11ra1;0;6,7955194;NP
15;Etv1;0;7,396979;NP
16;Nxph3;0;7,3734584;NP
17;Gm5454;0;5,4183106;NP
18;Tmem159;0;6,35411;NP
19;Fezf2;0;7,6127944;NP
20;Myl4;0;8,537749;NP
21;Efr3a;0;2,791498;NP
22;Lypd1;0;8,219433;NP
23;Olfm3;0;6,4783845;NP
24;Sec62;0;1,4240088;NP
25;Uap1;1,07E-303;2,9753692;NP
26;Trp53i11;2,10E-300;5,7933784;NP
27;Fdps;7,32E-298;2,2900825;NP
28;Dync1i1;1,36E-297;2,1742272;NP
29;Rnf152;3,55E-297;5,8460617;NP
30;Ift57;2,49E-295;2,5444903;NP
31;Plcxd2;1,38E-294;4,987351;NP
32;Spon1;3,75E-292;5,919289;NP
33;Amigo2;1,04E-290;6,921702;NP
34;Pcp4;9,13E-281;5,897216;NP
35;LOC105244376;7,24E-279;8,78527;NP
36;Prkca;8,82E-279;3,211461;NP
37;Rap1gds1;1,10E-278;2,097057;NP
38;Crym;1,76E-278;7,188455;NP
39;Kcnmb4;1,79E-276;3,187967;NP
40;Camk2d;1,30E-272;3,4317937;NP
41;Stxbp2;2,32E-272;4,4442315;NP
42;Trpc3;2,63E-272;5,244662;NP
43;Nrsn2;2,21E-271;4,1353283;NP
44;Pamr1;1,62E-270;5,892152;NP
45;Hlf;1,28E-269;3,385624;NP
46;Ctgf;6,94E-267;6,4417644;NP
47;Marcks;5,05E-266;2,3484662;NP
48;Mdh1;4,22E-259;1,0498351;NP
49;Fut9;3,43E-257;2,776549;NP
50;Kcna6;1,20E-256;2,8034232;NP
51;Diras2;1,78E-253;3,8584826;NP
52;Myzap;1,40E-252;9,15083;NP
53;P4ha1;2,39E-252;3,1684196;NP
54;Trhr;2,03E-249;10,188203;NP
55;Ccdc12;6,07E-249;1,5698781;NP
56;Kcnk2;6,44E-242;3,9886131;NP
57;Shisa4;5,15E-240;2,138871;NP
58;Msmo1;6,62E-238;2,4592957;NP
59;Cxx1c;7,55E-233;1,2581403;NP
60;Kremen1;1,65E-232;5,5348096;NP
61;Tmsb10;4,79E-227;1,9904286;NP
62;Gm2163;5,59E-227;2,6365252;NP
63;Chgb;2,31E-225;2,0529997;NP
64;Col12a1;1,63E-223;6,012377;NP
65;Ssbp2;1,02E-222;1,6600144;NP
66;Unc13b;4,71E-221;3,917624;NP
67;Mgat4c;4,05E-220;4,631801;NP
68;Tecr;1,42E-219;0,7527594;NP
69;Wbp5;1,63E-219;1,2682129;NP
70;B3glct;1,67E-217;4,041258;NP
71;Cd47;1,49E-216;1,1530744;NP
72;Scai;2,27E-216;2,7724276;NP
73;Pcdh17;2,37E-215;3,4107628;NP
74;Bcl11b;2,00E-214;3,8797677;NP
75;Pid1;1,69E-213;3,6050806;NP
76;5830416P10Rik;1,98E-213;6,3935804;NP
77;Lor;1,87E-211;3,0802202;NP
78;Neurod6;1,09E-210;5,7584896;NP
79;Scg3;2,35E-208;1,7589178;NP
80;Camk1;2,94E-208;1,6675187;NP
81;Rit2;6,02E-206;1,7606431;NP
82;Cib2;9,99E-203;2,5778782;NP
83;Foxp1;6,93E-202;3,042659;NP
84;Bcat1;1,41E-201;3,03046;NP
85;Cdc5l;2,22E-200;1,7530499;NP
86;Adora1;4,67E-200;3,7939034;NP
87;Oaz1;6,89E-200;0,6404475;NP
88;G630016G05Rik;5,86E-199;3,7854083;NP
89;Cpne4;1,94E-198;4,2857018;NP
90;Fdft1;2,68E-197;2,048223;NP
91;Hs3st4;5,23E-197;4,3738213;NP
92;Mgst3;1,67E-196;1,5308026;NP
93;Serpini1;1,38E-192;2,4209428;NP
94;Irak2;1,96E-192;4,5664115;NP
